"pokemon","id","from","to","gen_id","evo_id","url_icon","url_image"
"kakuna",14,"weedle","beedrill",1,5,"//archives.bulbagarden.net/media/upload/d/d4/014MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/014.png"
"beedrill",15,"kakuna",NA,1,5,"//archives.bulbagarden.net/media/upload/e/e4/015MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/015.png"
"pidgey",16,NA,"pidgeotto",1,6,"//archives.bulbagarden.net/media/upload/2/26/016MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/016.png"
"pidgeotto",17,"pidgey","pidgeot",1,6,"//archives.bulbagarden.net/media/upload/c/c3/017MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/017.png"
"pidgeot",18,"pidgeotto",NA,1,6,"//archives.bulbagarden.net/media/upload/e/e3/018MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/018.png"
"rattata",19,NA,"raticate",1,7,"//archives.bulbagarden.net/media/upload/d/d9/019MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/019.png"
"raticate",20,"rattata",NA,1,7,"//archives.bulbagarden.net/media/upload/5/57/020MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/020.png"
"spearow",21,NA,"fearow",1,8,"//archives.bulbagarden.net/media/upload/5/50/021MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/021.png"
"fearow",22,"spearow",NA,1,8,"//archives.bulbagarden.net/media/upload/0/0b/022MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/022.png"
"ekans",23,NA,"arbok",1,9,"//archives.bulbagarden.net/media/upload/d/de/023MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/023.png"
"arbok",24,"ekans",NA,1,9,"//archives.bulbagarden.net/media/upload/d/d5/024MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/024.png"
"pikachu",25,"pichu","raichu",1,10,"//archives.bulbagarden.net/media/upload/d/de/025MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/025.png"
"raichu",26,"pikachu",NA,1,10,"//archives.bulbagarden.net/media/upload/1/14/026MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/026.png"
"sandshrew",27,NA,"sandslash",1,11,"//archives.bulbagarden.net/media/upload/9/9d/027MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/027.png"
"sandslash",28,"sandshrew",NA,1,11,"//archives.bulbagarden.net/media/upload/5/56/028MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/028.png"
"nidoran-f",29,NA,"nidorina",1,12,"//archives.bulbagarden.net/media/upload/4/4e/029MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/029.png"
"nidorina",30,"nidoran-f","nidoqueen",1,12,"//archives.bulbagarden.net/media/upload/c/cb/030MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/030.png"
"nidoqueen",31,"nidorina",NA,1,12,"//archives.bulbagarden.net/media/upload/7/7c/031MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/031.png"
"nidoran-m",32,NA,"nidorino",1,13,"//archives.bulbagarden.net/media/upload/6/6a/032MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/032.png"
"nidorino",33,"nidoran-m","nidoking",1,13,"//archives.bulbagarden.net/media/upload/4/4a/033MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/033.png"
"nidoking",34,"nidorino",NA,1,13,"//archives.bulbagarden.net/media/upload/e/ec/034MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/034.png"
"clefairy",35,"cleffa","clefable",1,14,"//archives.bulbagarden.net/media/upload/6/67/035MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/035.png"
"clefable",36,"clefairy",NA,1,14,"//archives.bulbagarden.net/media/upload/a/a5/036MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/036.png"
"vulpix",37,NA,"ninetales",1,15,"//archives.bulbagarden.net/media/upload/0/09/037MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/037.png"
"ninetales",38,"vulpix",NA,1,15,"//archives.bulbagarden.net/media/upload/1/1f/038MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/038.png"
"jigglypuff",39,"igglybuff","wigglytuff",1,16,"//archives.bulbagarden.net/media/upload/8/8b/039MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/039.png"
"wigglytuff",40,"jigglypuff",NA,1,16,"//archives.bulbagarden.net/media/upload/d/d2/040MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/040.png"
"zubat",41,NA,"golbat",1,17,"//archives.bulbagarden.net/media/upload/0/0c/041MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/041.png"
"golbat",42,"zubat","crobat",1,17,"//archives.bulbagarden.net/media/upload/b/b7/042MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/042.png"
"oddish",43,NA,"gloom",1,18,"//archives.bulbagarden.net/media/upload/2/22/043MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/043.png"
"gloom",44,"oddish","vileplume",1,18,"//archives.bulbagarden.net/media/upload/e/e2/044MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/044.png"
"gloom",44,"oddish","bellossom",1,18,"//archives.bulbagarden.net/media/upload/e/e2/044MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/044.png"
"vileplume",45,"gloom",NA,1,18,"//archives.bulbagarden.net/media/upload/1/19/045MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/045.png"
"paras",46,NA,"parasect",1,19,"//archives.bulbagarden.net/media/upload/2/28/046MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/046.png"
"parasect",47,"paras",NA,1,19,"//archives.bulbagarden.net/media/upload/a/a3/047MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/047.png"
"venonat",48,NA,"venomoth",1,20,"//archives.bulbagarden.net/media/upload/6/6f/048MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/048.png"
"venomoth",49,"venonat",NA,1,20,"//archives.bulbagarden.net/media/upload/b/b2/049MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/049.png"
"diglett",50,NA,"dugtrio",1,21,"//archives.bulbagarden.net/media/upload/b/bf/050MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/050.png"
"dugtrio",51,"diglett",NA,1,21,"//archives.bulbagarden.net/media/upload/7/79/051MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/051.png"
"meowth",52,NA,"persian",1,22,"//archives.bulbagarden.net/media/upload/0/0d/052MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/052.png"
"meowth",52,NA,"perrserker",1,22,"//archives.bulbagarden.net/media/upload/0/0d/052MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/052.png"
"persian",53,"meowth",NA,1,22,"//archives.bulbagarden.net/media/upload/1/14/053MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/053.png"
"psyduck",54,NA,"golduck",1,23,"//archives.bulbagarden.net/media/upload/a/a2/054MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/054.png"
"golduck",55,"psyduck",NA,1,23,"//archives.bulbagarden.net/media/upload/5/59/055MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/055.png"
"mankey",56,NA,"primeape",1,24,"//archives.bulbagarden.net/media/upload/8/87/056MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/056.png"
"primeape",57,"mankey","annihilape",1,24,"//archives.bulbagarden.net/media/upload/0/01/057MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/057.png"
"growlithe",58,NA,"arcanine",1,25,"//archives.bulbagarden.net/media/upload/b/b8/058MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/058.png"
"arcanine",59,"growlithe",NA,1,25,"//archives.bulbagarden.net/media/upload/0/04/059MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/059.png"
"poliwag",60,NA,"poliwhirl",1,26,"//archives.bulbagarden.net/media/upload/1/1e/060MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/060.png"
"poliwhirl",61,"poliwag","poliwrath",1,26,"//archives.bulbagarden.net/media/upload/2/2f/061MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/061.png"
"poliwhirl",61,"poliwag","politoed",1,26,"//archives.bulbagarden.net/media/upload/2/2f/061MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/061.png"
"poliwrath",62,"poliwhirl",NA,1,26,"//archives.bulbagarden.net/media/upload/8/88/062MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/062.png"
"abra",63,NA,"kadabra",1,27,"//archives.bulbagarden.net/media/upload/b/b6/063MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/063.png"
"kadabra",64,"abra","alakazam",1,27,"//archives.bulbagarden.net/media/upload/2/21/064MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/064.png"
"alakazam",65,"kadabra",NA,1,27,"//archives.bulbagarden.net/media/upload/1/19/065MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/065.png"
"machop",66,NA,"machoke",1,28,"//archives.bulbagarden.net/media/upload/5/59/066MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/066.png"
"machoke",67,"machop","machamp",1,28,"//archives.bulbagarden.net/media/upload/1/19/067MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/067.png"
"machamp",68,"machoke",NA,1,28,"//archives.bulbagarden.net/media/upload/0/05/068MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/068.png"
"bellsprout",69,NA,"weepinbell",1,29,"//archives.bulbagarden.net/media/upload/c/c7/069MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/069.png"
"weepinbell",70,"bellsprout","victreebel",1,29,"//archives.bulbagarden.net/media/upload/b/b5/070MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/070.png"
"victreebel",71,"weepinbell",NA,1,29,"//archives.bulbagarden.net/media/upload/6/69/071MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/071.png"
"tentacool",72,NA,"tentacruel",1,30,"//archives.bulbagarden.net/media/upload/3/3a/072MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/072.png"
"tentacruel",73,"tentacool",NA,1,30,"//archives.bulbagarden.net/media/upload/e/eb/073MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/073.png"
"geodude",74,NA,"graveler",1,31,"//archives.bulbagarden.net/media/upload/b/b4/074MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/074.png"
"graveler",75,"geodude","golem",1,31,"//archives.bulbagarden.net/media/upload/0/0f/075MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/075.png"
"golem",76,"graveler",NA,1,31,"//archives.bulbagarden.net/media/upload/c/c3/076MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/076.png"
"ponyta",77,NA,"rapidash",1,32,"//archives.bulbagarden.net/media/upload/5/5d/077MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/077.png"
"rapidash",78,"ponyta",NA,1,32,"//archives.bulbagarden.net/media/upload/0/02/078MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/078.png"
"slowpoke",79,NA,"slowbro",1,33,"//archives.bulbagarden.net/media/upload/8/82/079MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/079.png"
"slowpoke",79,NA,"slowking",1,33,"//archives.bulbagarden.net/media/upload/8/82/079MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/079.png"
"slowbro",80,"slowpoke",NA,1,33,"//archives.bulbagarden.net/media/upload/c/cb/080MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/080.png"
"magnemite",81,NA,"magneton",1,34,"//archives.bulbagarden.net/media/upload/6/6e/081MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/081.png"
"magneton",82,"magnemite","magnezone",1,34,"//archives.bulbagarden.net/media/upload/9/9f/082MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/082.png"
"farfetchd",83,NA,"sirfetchd",1,35,"//archives.bulbagarden.net/media/upload/0/09/083MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/083.png"
"doduo",84,NA,"dodrio",1,36,"//archives.bulbagarden.net/media/upload/7/7f/084MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/084.png"
"dodrio",85,"doduo",NA,1,36,"//archives.bulbagarden.net/media/upload/8/8a/085MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/085.png"
"seel",86,NA,"dewgong",1,37,"//archives.bulbagarden.net/media/upload/d/db/086MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/086.png"
"dewgong",87,"seel",NA,1,37,"//archives.bulbagarden.net/media/upload/f/f7/087MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/087.png"
"grimer",88,NA,"muk",1,38,"//archives.bulbagarden.net/media/upload/2/2a/088MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/088.png"
"muk",89,"grimer",NA,1,38,"//archives.bulbagarden.net/media/upload/9/9b/089MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/089.png"
"shellder",90,NA,"cloyster",1,39,"//archives.bulbagarden.net/media/upload/a/ae/090MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/090.png"
"cloyster",91,"shellder",NA,1,39,"//archives.bulbagarden.net/media/upload/8/84/091MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/091.png"
"gastly",92,NA,"haunter",1,40,"//archives.bulbagarden.net/media/upload/e/e1/092MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/092.png"
"haunter",93,"gastly","gengar",1,40,"//archives.bulbagarden.net/media/upload/6/64/093MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/093.png"
"gengar",94,"haunter",NA,1,40,"//archives.bulbagarden.net/media/upload/8/87/094MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/094.png"
"onix",95,NA,"steelix",1,41,"//archives.bulbagarden.net/media/upload/3/38/095MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/095.png"
"drowzee",96,NA,"hypno",1,42,"//archives.bulbagarden.net/media/upload/2/22/096MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/096.png"
"hypno",97,"drowzee",NA,1,42,"//archives.bulbagarden.net/media/upload/2/23/097MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/097.png"
"krabby",98,NA,"kingler",1,43,"//archives.bulbagarden.net/media/upload/7/72/098MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/098.png"
"kingler",99,"krabby",NA,1,43,"//archives.bulbagarden.net/media/upload/f/fd/099MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/099.png"
"voltorb",100,NA,"electrode",1,44,"//archives.bulbagarden.net/media/upload/2/2e/100MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/100.png"
"electrode",101,"voltorb",NA,1,44,"//archives.bulbagarden.net/media/upload/5/51/101MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/101.png"
"exeggcute",102,NA,"exeggutor",1,45,"//archives.bulbagarden.net/media/upload/4/46/102MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/102.png"
"exeggutor",103,"exeggcute",NA,1,45,"//archives.bulbagarden.net/media/upload/0/0f/103MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/103.png"
"cubone",104,NA,"marowak",1,46,"//archives.bulbagarden.net/media/upload/0/05/104MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/104.png"
"marowak",105,"cubone",NA,1,46,"//archives.bulbagarden.net/media/upload/2/2f/105MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/105.png"
"hitmonlee",106,"tyrogue",NA,1,47,"//archives.bulbagarden.net/media/upload/d/d2/106MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/106.png"
"hitmonchan",107,"tyrogue",NA,1,47,"//archives.bulbagarden.net/media/upload/3/33/107MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/107.png"
"lickitung",108,NA,"lickilicky",1,48,"//archives.bulbagarden.net/media/upload/3/34/108MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/108.png"
"koffing",109,NA,"weezing",1,49,"//archives.bulbagarden.net/media/upload/1/17/109MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/109.png"
"weezing",110,"koffing",NA,1,49,"//archives.bulbagarden.net/media/upload/b/bd/110MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/110.png"
"rhyhorn",111,NA,"rhydon",1,50,"//archives.bulbagarden.net/media/upload/e/e8/111MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/111.png"
"rhydon",112,"rhyhorn","rhyperior",1,50,"//archives.bulbagarden.net/media/upload/7/7c/112MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/112.png"
"chansey",113,"happiny","blissey",1,51,"//archives.bulbagarden.net/media/upload/0/08/113MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/113.png"
"tangela",114,NA,"tangrowth",1,52,"//archives.bulbagarden.net/media/upload/6/60/114MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/114.png"
"horsea",116,NA,"seadra",1,54,"//archives.bulbagarden.net/media/upload/8/88/116MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/116.png"
"seadra",117,"horsea","kingdra",1,54,"//archives.bulbagarden.net/media/upload/6/66/117MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/117.png"
"goldeen",118,NA,"seaking",1,55,"//archives.bulbagarden.net/media/upload/c/cf/118MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/118.png"
"seaking",119,"goldeen",NA,1,55,"//archives.bulbagarden.net/media/upload/4/40/119MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/119.png"
"staryu",120,NA,"starmie",1,56,"//archives.bulbagarden.net/media/upload/d/da/120MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/120.png"
"starmie",121,"staryu",NA,1,56,"//archives.bulbagarden.net/media/upload/4/42/121MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/121.png"
"mr-mime",122,"mime-jr","mr-rime",1,57,"//archives.bulbagarden.net/media/upload/8/84/122MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/122.png"
"scyther",123,NA,"scizor",1,58,"//archives.bulbagarden.net/media/upload/5/5c/123MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/123.png"
"scyther",123,NA,"kleavor",1,58,"//archives.bulbagarden.net/media/upload/5/5c/123MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/123.png"
"jynx",124,"smoochum",NA,1,59,"//archives.bulbagarden.net/media/upload/6/65/124MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/124.png"
"electabuzz",125,"elekid","electivire",1,60,"//archives.bulbagarden.net/media/upload/9/9b/125MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/125.png"
"magmar",126,"magby","magmortar",1,61,"//archives.bulbagarden.net/media/upload/3/39/126MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/126.png"
"magikarp",129,NA,"gyarados",1,64,"//archives.bulbagarden.net/media/upload/8/85/129MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/129.png"
"gyarados",130,"magikarp",NA,1,64,"//archives.bulbagarden.net/media/upload/f/fa/130MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/130.png"
"eevee",133,NA,"vaporeon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"jolteon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"flareon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"espeon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"umbreon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"leafeon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"glaceon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"eevee",133,NA,"sylveon",1,67,"//archives.bulbagarden.net/media/upload/6/67/133MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/133.png"
"vaporeon",134,"eevee",NA,1,67,"//archives.bulbagarden.net/media/upload/5/57/134MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/134.png"
"jolteon",135,"eevee",NA,1,67,"//archives.bulbagarden.net/media/upload/3/3b/135MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/135.png"
"flareon",136,"eevee",NA,1,67,"//archives.bulbagarden.net/media/upload/f/fd/136MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/136.png"
"porygon",137,NA,"porygon2",1,68,"//archives.bulbagarden.net/media/upload/2/28/137MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/137.png"
"omanyte",138,NA,"omastar",1,69,"//archives.bulbagarden.net/media/upload/2/20/138MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/138.png"
"omastar",139,"omanyte",NA,1,69,"//archives.bulbagarden.net/media/upload/a/a4/139MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/139.png"
"kabuto",140,NA,"kabutops",1,70,"//archives.bulbagarden.net/media/upload/8/89/140MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/140.png"
"kabutops",141,"kabuto",NA,1,70,"//archives.bulbagarden.net/media/upload/1/1a/141MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/141.png"
"snorlax",143,"munchlax",NA,1,72,"//archives.bulbagarden.net/media/upload/d/d1/143MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/143.png"
"dratini",147,NA,"dragonair",1,76,"//archives.bulbagarden.net/media/upload/d/dd/147MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/147.png"
"dragonair",148,"dratini","dragonite",1,76,"//archives.bulbagarden.net/media/upload/3/38/148MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/148.png"
"dragonite",149,"dragonair",NA,1,76,"//archives.bulbagarden.net/media/upload/0/08/149MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/149.png"
"crobat",169,"golbat",NA,2,17,"//archives.bulbagarden.net/media/upload/e/e8/169MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/169.png"
"pichu",172,NA,"pikachu",2,10,"//archives.bulbagarden.net/media/upload/5/55/172MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/172.png"
