"pokemon","id","from","to","gen_id","evo_id","path_icon","evolution_chain_id","stage","y"
"graveler",75,"geodude","golem",1,31,"pokemon/icon/graveler.png","31",1,-31
"golem",76,"graveler",NA,1,31,"pokemon/icon/golem.png","31",2,-31
"ponyta",77,NA,"rapidash",1,32,"pokemon/icon/ponyta.png","32",0,-32
"rapidash",78,"ponyta",NA,1,32,"pokemon/icon/rapidash.png","32",1,-32
"slowpoke",79,NA,"slowbro",1,33,"pokemon/icon/slowpoke.png","33",0,-33
"slowbro",80,"slowpoke",NA,1,33,"pokemon/icon/slowbro.png","33",1,-33
"magnemite",81,NA,"magneton",1,34,"pokemon/icon/magnemite.png","34",0,-34
"magneton",82,"magnemite","magnezone",1,34,"pokemon/icon/magneton.png","34",1,-34
"farfetchd",83,NA,"sirfetchd",1,35,"pokemon/icon/farfetchd.png","35",0,-35
"doduo",84,NA,"dodrio",1,36,"pokemon/icon/doduo.png","36",0,-36
"dodrio",85,"doduo",NA,1,36,"pokemon/icon/dodrio.png","36",1,-36
"seel",86,NA,"dewgong",1,37,"pokemon/icon/seel.png","37",0,-37
"dewgong",87,"seel",NA,1,37,"pokemon/icon/dewgong.png","37",1,-37
"grimer",88,NA,"muk",1,38,"pokemon/icon/grimer.png","38",0,-38
"muk",89,"grimer",NA,1,38,"pokemon/icon/muk.png","38",1,-38
"shellder",90,NA,"cloyster",1,39,"pokemon/icon/shellder.png","39",0,-39
"cloyster",91,"shellder",NA,1,39,"pokemon/icon/cloyster.png","39",1,-39
"gastly",92,NA,"haunter",1,40,"pokemon/icon/gastly.png","40",0,-40
"haunter",93,"gastly","gengar",1,40,"pokemon/icon/haunter.png","40",1,-40
"gengar",94,"haunter",NA,1,40,"pokemon/icon/gengar.png","40",2,-40
"onix",95,NA,"steelix",1,41,"pokemon/icon/onix.png","41",0,-41
"drowzee",96,NA,"hypno",1,42,"pokemon/icon/drowzee.png","42",0,-42
"hypno",97,"drowzee",NA,1,42,"pokemon/icon/hypno.png","42",1,-42
"krabby",98,NA,"kingler",1,43,"pokemon/icon/krabby.png","43",0,-43
"kingler",99,"krabby",NA,1,43,"pokemon/icon/kingler.png","43",1,-43
"voltorb",100,NA,"electrode",1,44,"pokemon/icon/voltorb.png","44",0,-44
"electrode",101,"voltorb",NA,1,44,"pokemon/icon/electrode.png","44",1,-44
"exeggcute",102,NA,"exeggutor",1,45,"pokemon/icon/exeggcute.png","45",0,-45
"exeggutor",103,"exeggcute",NA,1,45,"pokemon/icon/exeggutor.png","45",1,-45
"cubone",104,NA,"marowak",1,46,"pokemon/icon/cubone.png","46",0,-46
"marowak",105,"cubone",NA,1,46,"pokemon/icon/marowak.png","46",1,-46
"hitmonlee",106,"tyrogue",NA,1,47,"pokemon/icon/hitmonlee.png","47",1,-47
"hitmonchan",107,"tyrogue",NA,1,47,"pokemon/icon/hitmonchan.png","47",1,-47
"lickitung",108,NA,"lickilicky",1,48,"pokemon/icon/lickitung.png","48",0,-48
"koffing",109,NA,"weezing",1,49,"pokemon/icon/koffing.png","49",0,-49
"weezing",110,"koffing",NA,1,49,"pokemon/icon/weezing.png","49",1,-49
"rhyhorn",111,NA,"rhydon",1,50,"pokemon/icon/rhyhorn.png","50",0,-50
"rhydon",112,"rhyhorn","rhyperior",1,50,"pokemon/icon/rhydon.png","50",1,-50
"chansey",113,"happiny","blissey",1,51,"pokemon/icon/chansey.png","51",1,-51
"tangela",114,NA,"tangrowth",1,52,"pokemon/icon/tangela.png","52",0,-52
"horsea",116,NA,"seadra",1,54,"pokemon/icon/horsea.png","54",0,-54
"seadra",117,"horsea","kingdra",1,54,"pokemon/icon/seadra.png","54",1,-54
"goldeen",118,NA,"seaking",1,55,"pokemon/icon/goldeen.png","55",0,-55
"seaking",119,"goldeen",NA,1,55,"pokemon/icon/seaking.png","55",1,-55
"staryu",120,NA,"starmie",1,56,"pokemon/icon/staryu.png","56",0,-56
"starmie",121,"staryu",NA,1,56,"pokemon/icon/starmie.png","56",1,-56
"mr-mime",122,"mime-jr","mr-rime",1,57,"pokemon/icon/mr-mime.png","57",1,-57
"scyther",123,NA,"scizor",1,58,"pokemon/icon/scyther.png","58",0,-58
"jynx",124,"smoochum",NA,1,59,"pokemon/icon/jynx.png","59",1,-59
"electabuzz",125,"elekid","electivire",1,60,"pokemon/icon/electabuzz.png","60",1,-60
"magmar",126,"magby","magmortar",1,61,"pokemon/icon/magmar.png","61",1,-61
"magikarp",129,NA,"gyarados",1,64,"pokemon/icon/magikarp.png","64",0,-64
"gyarados",130,"magikarp",NA,1,64,"pokemon/icon/gyarados.png","64",1,-64
"eevee",133,NA,"vaporeon",1,67,"pokemon/icon/eevee.png","67",0,-67
"vaporeon",134,"eevee",NA,1,67,"pokemon/icon/vaporeon.png","67",1,-67
"jolteon",135,"eevee",NA,1,67,"pokemon/icon/jolteon.png","67",1,-67
"flareon",136,"eevee",NA,1,67,"pokemon/icon/flareon.png","67",1,-67
"porygon",137,NA,"porygon2",1,68,"pokemon/icon/porygon.png","68",0,-68
"omanyte",138,NA,"omastar",1,69,"pokemon/icon/omanyte.png","69",0,-69
"omastar",139,"omanyte",NA,1,69,"pokemon/icon/omastar.png","69",1,-69
"kabuto",140,NA,"kabutops",1,70,"pokemon/icon/kabuto.png","70",0,-70
"kabutops",141,"kabuto",NA,1,70,"pokemon/icon/kabutops.png","70",1,-70
"snorlax",143,"munchlax",NA,1,72,"pokemon/icon/snorlax.png","72",1,-72
"dratini",147,NA,"dragonair",1,76,"pokemon/icon/dratini.png","76",0,-76
"dragonair",148,"dratini","dragonite",1,76,"pokemon/icon/dragonair.png","76",1,-76
"dragonite",149,"dragonair",NA,1,76,"pokemon/icon/dragonite.png","76",2,-76
"crobat",169,"golbat",NA,2,17,"pokemon/icon/crobat.png","17",2,-17
"pichu",172,NA,"pikachu",2,10,"pokemon/icon/pichu.png","10",0,-10
"cleffa",173,NA,"clefairy",2,14,"pokemon/icon/cleffa.png","14",0,-14
"igglybuff",174,NA,"jigglypuff",2,16,"pokemon/icon/igglybuff.png","16",0,-16
"bellossom",182,"gloom",NA,2,18,"pokemon/icon/bellossom.png","18",2,-18
"politoed",186,"poliwhirl",NA,2,26,"pokemon/icon/politoed.png","26",2,-26
"espeon",196,"eevee",NA,2,67,"pokemon/icon/espeon.png","67",1,-67
"umbreon",197,"eevee",NA,2,67,"pokemon/icon/umbreon.png","67",1,-67
"slowking",199,"slowpoke",NA,2,33,"pokemon/icon/slowking.png","33",1,-33
"steelix",208,"onix",NA,2,41,"pokemon/icon/steelix.png","41",1,-41
"scizor",212,"scyther",NA,2,58,"pokemon/icon/scizor.png","58",1,-58
"kingdra",230,"seadra",NA,2,54,"pokemon/icon/kingdra.png","54",2,-54
"porygon2",233,"porygon","porygon-z",2,68,"pokemon/icon/porygon2.png","68",1,-68
"tyrogue",236,NA,"hitmonlee",2,47,"pokemon/icon/tyrogue.png","47",0,-47
"hitmontop",237,"tyrogue",NA,2,47,"pokemon/icon/hitmontop.png","47",1,-47
"smoochum",238,NA,"jynx",2,59,"pokemon/icon/smoochum.png","59",0,-59
"elekid",239,NA,"electabuzz",2,60,"pokemon/icon/elekid.png","60",0,-60
"magby",240,NA,"magmar",2,61,"pokemon/icon/magby.png","61",0,-61
"blissey",242,"chansey",NA,2,51,"pokemon/icon/blissey.png","51",2,-51
"mime-jr",439,NA,"mr-mime",4,57,"pokemon/icon/mime-jr.png","57",0,-57
"happiny",440,NA,"chansey",4,51,"pokemon/icon/happiny.png","51",0,-51
"munchlax",446,NA,"snorlax",4,72,"pokemon/icon/munchlax.png","72",0,-72
"magnezone",462,"magneton",NA,4,34,"pokemon/icon/magnezone.png","34",2,-34
"lickilicky",463,"lickitung",NA,4,48,"pokemon/icon/lickilicky.png","48",1,-48
"rhyperior",464,"rhydon",NA,4,50,"pokemon/icon/rhyperior.png","50",2,-50
"tangrowth",465,"tangela",NA,4,52,"pokemon/icon/tangrowth.png","52",1,-52
"electivire",466,"electabuzz",NA,4,60,"pokemon/icon/electivire.png","60",2,-60
"magmortar",467,"magmar",NA,4,61,"pokemon/icon/magmortar.png","61",2,-61
"leafeon",470,"eevee",NA,4,67,"pokemon/icon/leafeon.png","67",1,-67
"glaceon",471,"eevee",NA,4,67,"pokemon/icon/glaceon.png","67",1,-67
"porygon-z",474,"porygon2",NA,4,68,"pokemon/icon/porygon-z.png","68",2,-68
"sylveon",700,"eevee",NA,6,67,"pokemon/icon/sylveon.png","67",1,-67
"perrserker",863,"meowth",NA,8,22,"pokemon/icon/black.png","22",1,-22
"annihilape",979,"primeape",NA,9,24,"pokemon/icon/black.png","24",2,-24
"sirfetchd",865,"farfetchd",NA,8,35,"pokemon/icon/black.png","35",1,-35
"mr-rime",866,"mr-mime",NA,8,57,"pokemon/icon/black.png","57",2,-57
"kleavor",900,"scyther",NA,8,58,"pokemon/icon/black.png","58",1,-58
